zone,inclination,orientation,irradiance
1,32,80,825
1,32,85,808
1,32,90,790
1,32,95,772
1,32,100,754
1,32,105,736
1,32,110,718
1,32,115,700
1,32,120,682
1,32,125,665
1,32,130,648
1,32,135,633
1,32,140,618
1,32,145,606
1,32,150,595
1,32,155,585
1,32,160,577
1,32,165,571
1,32,170,568
1,32,175,565
1,33,0,982
1,33,5,981
1,33,10,979
1,33,15,975
1,33,20,970
1,33,25,964
1,33,30,957
1,33,35,948
1,33,40,938
1,33,45,927
1,33,50,914
1,33,55,901
1,33,60,887
1,33,65,872
1,33,70,856
1,33,75,840
1,33,80,823
1,33,85,806
1,33,90,788
1,33,95,769
1,33,100,751
1,33,105,733
1,33,110,714
1,33,115,696
1,33,120,678
1,33,125,660
1,33,130,643
1,33,135,627
1,33,140,612
1,33,145,599
1,33,150,588
1,33,155,578
1,33,160,570
1,33,165,564
1,33,170,560
1,33,175,557
1,34,0,983
1,34,5,982
1,34,10,980
1,34,15,976
1,34,20,971
1,34,25,965
1,34,30,957
1,34,35,948
1,34,40,938
1,34,45,927
1,34,50,914
1,34,55,901
1,34,60,886
1,34,65,871
1,34,70,855
1,34,75,838
1,34,80,821
1,34,85,803
1,34,90,785
1,34,95,767
1,34,100,748
1,34,105,729
1,34,110,710
1,34,115,691
1,34,120,673
1,34,125,655
1,34,130,638
1,34,135,621
1,34,140,606
1,34,145,592
1,34,150,581
1,34,155,570
1,34,160,562
1,34,165,556
1,34,170,551
1,34,175,548
1,35,0,984
1,35,5,983
1,35,10,981
1,35,15,977
1,35,20,972
1,35,25,966
1,35,30,958
1,35,35,949
1,35,40,938
1,35,45,927
1,35,50,914
1,35,55,900
1,35,60,886
1,35,65,870
1,35,70,854
1,35,75,837
1,35,80,819
1,35,85,801
1,35,90,783
1,35,95,764
1,35,100,745
1,35,105,726
1,35,110,706
1,35,115,687
1,35,120,668
1,35,125,650
1,35,130,632
1,35,135,616
1,35,140,600
1,35,145,586
1,35,150,573
1,35,155,563
1,35,160,555
1,35,165,548
1,35,170,543
1,35,175,540
1,36,0,984
1,36,5,984
1,36,10,981
1,36,15,978
1,36,20,973
1,36,25,966
1,36,30,958
1,36,35,949
1,36,40,938
1,36,45,927
1,36,50,914
1,36,55,900
1,36,60,885
1,36,65,869
1,36,70,852
1,36,75,835
1,36,80,817
1,36,85,799
1,36,90,780
1,36,95,761
1,36,100,741
1,36,105,722
1,36,110,702
1,36,115,683
1,36,120,664
1,36,125,645
1,36,130,627
1,36,135,610
1,36,140,594
1,36,145,579
1,36,150,566
1,36,155,556
1,36,160,547
1,36,165,540
1,36,170,535
1,36,175,532
1,37,0,985
1,37,5,984
1,37,10,982
1,37,15,978
1,37,20,973
1,37,25,966
1,37,30,958
1,37,35,949
1,37,40,938
1,37,45,926
1,37,50,913
1,37,55,899
1,37,60,884
1,37,65,868
1,37,70,851
1,37,75,833
1,37,80,815
1,37,85,796
1,37,90,777
1,37,95,758
1,37,100,738
1,37,105,718
1,37,110,698
1,37,115,679
1,37,120,659
1,37,125,640
1,37,130,622
1,37,135,604
1,37,140,588
1,37,145,572
1,37,150,560
1,37,155,549
1,37,160,540
1,37,165,533
1,37,170,528
1,37,175,524
1,38,0,985
1,38,5,984
1,38,10,982
1,38,15,978
1,38,20,973
1,38,25,966
1,38,30,958
1,38,35,949
1,38,40,938
1,38,45,925
1,38,50,912
1,38,55,898
1,38,60,882
1,38,65,866
1,38,70,849
1,38,75,831
1,38,80,813
1,38,85,794
1,38,90,775
1,38,95,755
1,38,100,734
1,38,105,714
1,38,110,694
1,38,115,674
1,38,120,655
1,38,125,635
1,38,130,616
1,38,135,598
1,38,140,582
1,38,145,566
1,38,150,553
1,38,155,541
1,38,160,532
1,38,165,525
1,38,170,520
1,38,175,517
1,39,0,985
1,39,5,984
1,39,10,982
1,39,15,978
1,39,20,973
1,39,25,966
1,39,30,958
1,39,35,948
1,39,40,937
1,39,45,925
1,39,50,911
1,39,55,897
1,39,60,881
1,39,65,864
1,39,70,847
1,39,75,829
1,39,80,810
1,39,85,791
1,39,90,771
1,39,95,751
1,39,100,731
1,39,105,711
1,39,110,690
1,39,115,670
1,39,120,650
1,39,125,630
1,39,130,611
1,39,135,593
1,39,140,576
1,39,145,560
1,39,150,546
1,39,155,534
1,39,160,525
1,39,165,517
1,39,170,512
1,39,175,509
1,40,0,985
1,40,5,984
1,40,10,982
1,40,15,978
1,40,20,973
